time,species,N,virulence
100,Susceptible annual,19914.112039049116,0.0024242424242424242
100,Infected annual,12862.702970032682,0.0024242424242424242
100,Annual,32776.815009081794,0.0024242424242424242
100,Perennial first-year,0.014206265475620709,0.0024242424242424242
100,Perennial adult,0.009354722697832881,0.0024242424242424242
100,Litter,934.6721747464924,0.0024242424242424242
100,Annual biomass,417.10994380116364,0.0024242424242424242
100,Perennial first-year biomass,3.0633813334427836e-6,0.0024242424242424242
100,Perennial adult biomass,7.124579751639952e-4,0.0024242424242424242
100,Annual susceptible biomass,1.9039932845585668,0.0024242424242424242
100,Perennial first-year susceptible biomass,5.6413514777894414e-11,0.0024242424242424242
100,Perennial adult susceptible biomass,8.968132131901597e-8,0.0024242424242424242
100,Annual infected biomass,415.20595051660507,0.0024242424242424242
100,Perennial first-year infected biomass,3.0633249199280057e-6,0.0024242424242424242
100,Perennial adult infected biomass,7.123682938426762e-4,0.0024242424242424242
100,Conidia,814183.8914063812,0.0024242424242424242
100,Susceptible annual,19092.15788199634,0.0027272727272727275
100,Infected annual,12342.860979247616,0.0027272727272727275
100,Annual,31435.018861243956,0.0027272727272727275
100,Perennial first-year,0.014749410348274799,0.0027272727272727275
100,Perennial adult,0.009716104865726632,0.0027272727272727275
100,Litter,924.1817349474425,0.0027272727272727275
100,Annual biomass,400.0375340743427,0.0027272727272727275
100,Perennial first-year biomass,3.215920548519203e-6,0.0027272727272727275
100,Perennial adult biomass,7.39980929709441e-4,0.0027272727272727275
100,Annual susceptible biomass,1.6839091365995955,0.0027272727272727275
100,Perennial first-year susceptible biomass,5.669849223122883e-11,0.0027272727272727275
100,Perennial adult susceptible biomass,8.666294418386861e-8,0.0027272727272727275
100,Annual infected biomass,398.3536249377431,0.0027272727272727275
100,Perennial first-year infected biomass,3.2158638500269716e-6,0.0027272727272727275
100,Perennial adult infected biomass,7.398942667652572e-4,0.0027272727272727275
100,Conidia,880149.7788871154,0.0027272727272727275
100,Susceptible annual,18283.57969073308,0.0030303030303030303
100,Infected annual,11828.724563770018,0.0030303030303030303
100,Annual,30112.3042545031,0.0030303030303030303
100,Perennial first-year,0.015404892531801813,0.0030303030303030303
100,Perennial adult,0.010152448027584263,0.0030303030303030303
100,Litter,912.0657712378809,0.0030303030303030303
100,Annual biomass,383.20719202325137,0.0030303030303030303
100,Perennial first-year biomass,3.397607265988735e-6,0.0030303030303030303
100,Perennial adult biomass,7.732129319414353e-4,0.0030303030303030303
100,Annual susceptible biomass,1.502637871795855,0.0030303030303030303
100,Perennial first-year susceptible biomass,5.839947223122214e-11,0.0030303030303030303
100,Perennial adult susceptible biomass,8.500135898446837e-8,0.0030303030303030303
100,Annual infected biomass,381.7045541514555,0.0030303030303030303
100,Perennial first-year infected biomass,3.397548866516504e-6,0.0030303030303030303
100,Perennial adult infected biomass,7.731279305824508e-4,0.0030303030303030303
100,Conidia,938840.8402483392,0.0030303030303030303
100,Susceptible annual,17488.31061007336,0.003333333333333333
100,Infected annual,11321.05415474659,0.003333333333333333
100,Annual,28809.364764819948,0.003333333333333333
100,Perennial first-year,0.01618298503649357,0.003333333333333333
100,Perennial adult,0.010670690336727006,0.003333333333333333
100,Litter,898.4069364811346,0.003333333333333333
100,Annual biomass,366.62808982227943,0.003333333333333333
100,Perennial first-year biomass,3.611807356471189e-6,0.003333333333333333
100,Perennial adult biomass,8.126823933185826e-4,0.003333333333333333
100,Annual susceptible biomass,1.3498906327619693,0.003333333333333333
100,Perennial first-year susceptible biomass,6.080055419365165e-11,0.003333333333333333
100,Perennial adult susceptible biomass,8.489209274084586e-8,0.003333333333333333
100,Annual infected biomass,365.27819918951747,0.003333333333333333
100,Perennial first-year infected biomass,3.6117465559169954e-6,0.003333333333333333
100,Perennial adult infected biomass,8.125975012258417e-4,0.003333333333333333
100,Conidia,990497.5999968153,0.003333333333333333
100,Susceptible annual,16706.47248996629,0.0036363636363636364
100,Infected annual,10820.466415831912,0.0036363636363636364
100,Annual,27526.938905798204,0.0036363636363636364
100,Perennial first-year,0.017096487639343266,0.0036363636363636364
100,Perennial adult,0.011279478868959858,0.0036363636363636364
100,Litter,883.2869247717022,0.0036363636363636364
100,Annual biomass,350.30948839317006,0.0036363636363636364
100,Perennial first-year biomass,3.8626478762271875e-6,0.0036363636363636364
100,Perennial adult biomass,8.59047877255195e-4,0.0036363636363636364
100,Annual susceptible biomass,1.218792866559852,0.0036363636363636364
100,Perennial first-year susceptible biomass,6.446764381552207e-11,0.0036363636363636364
100,Perennial adult susceptible biomass,8.604448224985937e-8,0.0036363636363636364
100,Annual infected biomass,349.0906955266102,0.0036363636363636364
100,Perennial first-year infected biomass,3.862583408583372e-6,0.0036363636363636364
100,Perennial adult infected biomass,8.589618327729451e-4,0.0036363636363636364
100,Conidia,1035355.1658449271,0.0036363636363636364
100,Susceptible annual,15938.29454684421,0.00393939393939394
100,Infected annual,10327.483219078224,0.00393939393939394
100,Annual,26265.777765922434,0.00393939393939394
100,Perennial first-year,0.018161046804509473,0.00393939393939394
100,Perennial adult,0.011989389013708605,0.00393939393939394
100,Litter,866.7860373229421,0.00393939393939394
100,Annual biomass,334.2609735509282,0.00393939393939394
100,Perennial first-year biomass,4.155138847733253e-6,0.00393939393939394
100,Perennial adult biomass,9.131148080037772e-4,0.00393939393939394
100,Annual susceptible biomass,1.1045837326813057,0.00393939393939394
100,Perennial first-year susceptible biomass,6.900829132303402e-11,0.00393939393939394
100,Perennial adult susceptible biomass,8.836304948107911e-8,0.00393939393939394
100,Annual infected biomass,333.1563898182469,0.00393939393939394
100,Perennial first-year infected biomass,4.15506983944193e-6,0.00393939393939394
100,Perennial adult infected biomass,9.130264449542961e-4,0.00393939393939394
100,Conidia,1073642.2461595635,0.00393939393939394
100,Susceptible annual,15184.022796562518,0.004242424242424242
100,Infected annual,9842.53116220292,0.004242424242424242
100,Annual,25026.55395876544,0.004242424242424242
100,Perennial first-year,0.01939557290180981,0.004242424242424242
100,Perennial adult,0.012813210912305601,0.004242424242424242
100,Litter,848.9821935211849,0.004242424242424242
100,Annual biomass,318.4917558493351,0.004242424242424242
100,Perennial first-year biomass,4.495330352177571e-6,0.004242424242424242
100,Perennial adult biomass,9.758572858653879e-4,0.004242424242424242
100,Annual susceptible biomass,1.0038636474333202,0.004242424242424242
100,Perennial first-year susceptible biomass,7.469841695844877e-11,0.004242424242424242
100,Perennial adult susceptible biomass,9.185434829135468e-8,0.004242424242424242
100,Annual infected biomass,317.4878922019018,0.004242424242424242
100,Perennial first-year infected biomass,4.495255653760613e-6,0.004242424242424242
100,Perennial adult infected biomass,9.757654315170965e-4,0.004242424242424242
