time,species,N,alpha_PP
7,Perennial adult,30494.36270022503,2.63356721948172e-4
8,Perennial adult,30914.43130921146,2.63356721948172e-4
9,Perennial adult,31308.206170419075,2.63356721948172e-4
10,Perennial adult,31679.534155129884,2.63356721948172e-4
11,Perennial adult,32030.362856323598,2.63356721948172e-4
12,Perennial adult,32361.995895089174,2.63356721948172e-4
13,Perennial adult,32675.51796742517,2.63356721948172e-4
14,Perennial adult,32971.921259822375,2.63356721948172e-4
15,Perennial adult,33252.138912984905,2.63356721948172e-4
16,Perennial adult,33517.05354895671,2.63356721948172e-4
17,Perennial adult,33767.50032383876,2.63356721948172e-4
18,Perennial adult,34004.26916910386,2.63356721948172e-4
19,Perennial adult,34228.10702791543,2.63356721948172e-4
20,Perennial adult,34439.72010050012,2.63356721948172e-4
21,Perennial adult,34639.776033188806,2.63356721948172e-4
22,Perennial adult,34828.90601268894,2.63356721948172e-4
23,Perennial adult,35007.70675447818,2.63356721948172e-4
24,Perennial adult,35176.74238477988,2.63356721948172e-4
25,Perennial adult,35336.54622018024,2.63356721948172e-4
26,Perennial adult,35487.622450520255,2.63356721948172e-4
27,Perennial adult,35630.44772950677,2.63356721948172e-4
28,Perennial adult,35765.47267857774,2.63356721948172e-4
29,Perennial adult,35893.12330883551,2.63356721948172e-4
30,Perennial adult,36013.80236495032,2.63356721948172e-4
31,Perennial adult,36127.89059589127,2.63356721948172e-4
32,Perennial adult,36235.74795617334,2.63356721948172e-4
33,Perennial adult,36337.71474165556,2.63356721948172e-4
34,Perennial adult,36434.112663136344,2.63356721948172e-4
35,Perennial adult,36525.2458611917,2.63356721948172e-4
36,Perennial adult,36611.40186607062,2.63356721948172e-4
37,Perennial adult,36692.85250463402,2.63356721948172e-4
38,Perennial adult,36769.854758092275,2.63356721948172e-4
39,Perennial adult,36842.65157270153,2.63356721948172e-4
40,Perennial adult,36911.47262630803,2.63356721948172e-4
41,Perennial adult,36976.53505316941,2.63356721948172e-4
42,Perennial adult,37038.044128688445,2.63356721948172e-4
43,Perennial adult,37096.19391735816,2.63356721948172e-4
44,Perennial adult,37151.167884976196,2.63356721948172e-4
45,Perennial adult,37203.139477308825,2.63356721948172e-4
46,Perennial adult,37252.272667644764,2.63356721948172e-4
47,Perennial adult,37298.72247384749,2.63356721948172e-4
48,Perennial adult,37342.63544747608,2.63356721948172e-4
49,Perennial adult,37384.150136439006,2.63356721948172e-4
50,Perennial adult,37423.397521841296,2.63356721948172e-4
1,Litter,2717.4475462915084,2.63356721948172e-4
2,Litter,3704.3775162656584,2.63356721948172e-4
3,Litter,4722.824533659288,2.63356721948172e-4
4,Litter,5247.77790463585,2.63356721948172e-4
5,Litter,5451.601865577154,2.63356721948172e-4
6,Litter,5518.733129053027,2.63356721948172e-4
7,Litter,5537.8795287886,2.63356721948172e-4
8,Litter,5542.450305892149,2.63356721948172e-4
9,Litter,5543.232501998762,2.63356721948172e-4
10,Litter,5543.238637740844,2.63356721948172e-4
11,Litter,5543.165123294691,2.63356721948172e-4
12,Litter,5543.1216111397725,2.63356721948172e-4
13,Litter,5543.1034616179,2.63356721948172e-4
14,Litter,5543.097157689051,2.63356721948172e-4
15,Litter,5543.095267510818,2.63356721948172e-4
16,Litter,5543.094785709167,2.63356721948172e-4
17,Litter,5543.094690716117,2.63356721948172e-4
18,Litter,5543.094682860423,2.63356721948172e-4
19,Litter,5543.094687655872,2.63356721948172e-4
20,Litter,5543.094691241142,2.63356721948172e-4
21,Litter,5543.094692805167,2.63356721948172e-4
22,Litter,5543.094693331301,2.63356721948172e-4
23,Litter,5543.094693525558,2.63356721948172e-4
24,Litter,5543.094693561101,2.63356721948172e-4
25,Litter,5543.094693591827,2.63356721948172e-4
26,Litter,5543.094693633138,2.63356721948172e-4
27,Litter,5543.094693593339,2.63356721948172e-4
28,Litter,5543.094693571392,2.63356721948172e-4
29,Litter,5543.094693574256,2.63356721948172e-4
30,Litter,5543.094693588833,2.63356721948172e-4
31,Litter,5543.094693552791,2.63356721948172e-4
32,Litter,5543.094693521606,2.63356721948172e-4
33,Litter,5543.094693569491,2.63356721948172e-4
34,Litter,5543.094693549061,2.63356721948172e-4
35,Litter,5543.094693552055,2.63356721948172e-4
36,Litter,5543.094693567016,2.63356721948172e-4
37,Litter,5543.094693619845,2.63356721948172e-4
38,Litter,5543.094693657913,2.63356721948172e-4
39,Litter,5543.09469361296,2.63356721948172e-4
40,Litter,5543.0946936368055,2.63356721948172e-4
41,Litter,5543.094693607683,2.63356721948172e-4
42,Litter,5543.094693561039,2.63356721948172e-4
43,Litter,5543.094693581443,2.63356721948172e-4
44,Litter,5543.094693543446,2.63356721948172e-4
45,Litter,5543.09469357429,2.63356721948172e-4
46,Litter,5543.094693639832,2.63356721948172e-4
47,Litter,5543.09469359377,2.63356721948172e-4
48,Litter,5543.094693585852,2.63356721948172e-4
49,Litter,5543.094693626776,2.63356721948172e-4
50,Litter,5543.09469362187,2.63356721948172e-4
1,Annual biomass,499.3280507293922,2.63356721948172e-4
2,Annual biomass,497.3078801264596,2.63356721948172e-4
3,Annual biomass,495.9232705821744,2.63356721948172e-4
4,Annual biomass,495.20262084076194,2.63356721948172e-4
5,Annual biomass,494.91923656990474,2.63356721948172e-4
6,Annual biomass,494.8249248855251,2.63356721948172e-4
7,Annual biomass,494.7978014479197,2.63356721948172e-4
8,Annual biomass,494.79124615149203,2.63356721948172e-4
9,Annual biomass,494.7900914294926,2.63356721948172e-4
10,Annual biomass,494.79006342746703,2.63356721948172e-4
11,Annual biomass,494.790160896203,2.63356721948172e-4
12,Annual biomass,494.7902205490006,2.63356721948172e-4
13,Annual biomass,494.7902457490103,2.63356721948172e-4
14,Annual biomass,494.79025458650585,2.63356721948172e-4
15,Annual biomass,494.7902572555407,2.63356721948172e-4
16,Annual biomass,494.7902579344893,2.63356721948172e-4
17,Annual biomass,494.79025808126,2.63356721948172e-4
18,Annual biomass,494.7902580941951,2.63356721948172e-4
19,Annual biomass,494.7902580894401,2.63356721948172e-4
20,Annual biomass,494.7902580788904,2.63356721948172e-4
21,Annual biomass,494.7902580745832,2.63356721948172e-4
22,Annual biomass,494.79025807758165,2.63356721948172e-4
23,Annual biomass,494.7902580746386,2.63356721948172e-4
24,Annual biomass,494.79025807740896,2.63356721948172e-4
25,Annual biomass,494.7902580796643,2.63356721948172e-4
26,Annual biomass,494.79025807390644,2.63356721948172e-4
27,Annual biomass,494.7902580749414,2.63356721948172e-4
28,Annual biomass,494.7902580757201,2.63356721948172e-4
29,Annual biomass,494.79025807652874,2.63356721948172e-4
30,Annual biomass,494.7902580729915,2.63356721948172e-4
31,Annual biomass,494.7902580729133,2.63356721948172e-4
32,Annual biomass,494.7902580779794,2.63356721948172e-4
33,Annual biomass,494.79025807307937,2.63356721948172e-4
34,Annual biomass,494.7902580751532,2.63356721948172e-4
35,Annual biomass,494.7902580757421,2.63356721948172e-4
36,Annual biomass,494.7902580798889,2.63356721948172e-4
37,Annual biomass,494.7902580802769,2.63356721948172e-4
38,Annual biomass,494.790258074403,2.63356721948172e-4
39,Annual biomass,494.7902580801433,2.63356721948172e-4
40,Annual biomass,494.79025807492513,2.63356721948172e-4
41,Annual biomass,494.79025807346477,2.63356721948172e-4
42,Annual biomass,494.7902580774441,2.63356721948172e-4
43,Annual biomass,494.7902580725507,2.63356721948172e-4
44,Annual biomass,494.790258077641,2.63356721948172e-4
45,Annual biomass,494.79025808126875,2.63356721948172e-4
46,Annual biomass,494.79025807349205,2.63356721948172e-4
47,Annual biomass,494.7902580763099,2.63356721948172e-4
48,Annual biomass,494.79025807980844,2.63356721948172e-4
49,Annual biomass,494.7902580764483,2.63356721948172e-4
50,Annual biomass,494.79025808200703,2.63356721948172e-4
1,Perennial first-year biomass,134.4351890500215,2.63356721948172e-4
2,Perennial first-year biomass,138.94776272132955,2.63356721948172e-4
3,Perennial first-year biomass,144.35046571313808,2.63356721948172e-4
4,Perennial first-year biomass,145.05018998142808,2.63356721948172e-4
5,Perennial first-year biomass,144.8092237377347,2.63356721948172e-4
6,Perennial first-year biomass,144.5883262465172,2.63356721948172e-4
7,Perennial first-year biomass,144.48397222119996,2.63356721948172e-4
8,Perennial first-year biomass,144.44492254042757,2.63356721948172e-4
9,Perennial first-year biomass,144.43241098787573,2.63356721948172e-4
10,Perennial first-year biomass,144.42895506227063,2.63356721948172e-4
11,Perennial first-year biomass,144.42817088394833,2.63356721948172e-4
12,Perennial first-year biomass,144.42805382228323,2.63356721948172e-4
13,Perennial first-year biomass,144.42806279001812,2.63356721948172e-4
14,Perennial first-year biomass,144.4280795715149,2.63356721948172e-4
15,Perennial first-year biomass,144.42808847843008,2.63356721948172e-4
16,Perennial first-year biomass,144.42809201413752,2.63356721948172e-4
17,Perennial first-year biomass,144.42809321399062,2.63356721948172e-4
18,Perennial first-year biomass,144.42809355993424,2.63356721948172e-4
19,Perennial first-year biomass,144.42809364576524,2.63356721948172e-4
20,Perennial first-year biomass,144.42809365602236,2.63356721948172e-4
21,Perennial first-year biomass,144.4280936540161,2.63356721948172e-4
22,Perennial first-year biomass,144.42809365663936,2.63356721948172e-4
23,Perennial first-year biomass,144.42809365317598,2.63356721948172e-4
24,Perennial first-year biomass,144.42809365569587,2.63356721948172e-4
25,Perennial first-year biomass,144.42809365753052,2.63356721948172e-4
26,Perennial first-year biomass,144.4280936521744,2.63356721948172e-4
27,Perennial first-year biomass,144.4280936532831,2.63356721948172e-4
28,Perennial first-year biomass,144.42809365375183,2.63356721948172e-4
29,Perennial first-year biomass,144.42809365462003,2.63356721948172e-4
30,Perennial first-year biomass,144.42809365084466,2.63356721948172e-4
31,Perennial first-year biomass,144.4280936506797,2.63356721948172e-4
32,Perennial first-year biomass,144.4280936556778,2.63356721948172e-4
33,Perennial first-year biomass,144.42809365093422,2.63356721948172e-4
34,Perennial first-year biomass,144.42809365331632,2.63356721948172e-4
35,Perennial first-year biomass,144.42809365396516,2.63356721948172e-4
36,Perennial first-year biomass,144.42809365757745,2.63356721948172e-4
37,Perennial first-year biomass,144.42809365817382,2.63356721948172e-4
38,Perennial first-year biomass,144.42809365291546,2.63356721948172e-4
39,Perennial first-year biomass,144.42809365797564,2.63356721948172e-4
40,Perennial first-year biomass,144.42809365333403,2.63356721948172e-4
41,Perennial first-year biomass,144.42809365147528,2.63356721948172e-4
42,Perennial first-year biomass,144.42809365549783,2.63356721948172e-4
43,Perennial first-year biomass,144.42809365027216,2.63356721948172e-4
44,Perennial first-year biomass,144.42809365559236,2.63356721948172e-4
45,Perennial first-year biomass,144.42809365858278,2.63356721948172e-4
46,Perennial first-year biomass,144.42809365169975,2.63356721948172e-4
47,Perennial first-year biomass,144.42809365465683,2.63356721948172e-4
48,Perennial first-year biomass,144.42809365746805,2.63356721948172e-4
49,Perennial first-year biomass,144.42809365505127,2.63356721948172e-4
50,Perennial first-year biomass,144.4280936594689,2.63356721948172e-4
1,Perennial adult biomass,1432.2812182126406,2.63356721948172e-4
2,Perennial adult biomass,1878.6572678701452,2.63356721948172e-4
3,Perennial adult biomass,1952.8769405814326,2.63356721948172e-4
4,Perennial adult biomass,1949.8270453948526,2.63356721948172e-4
5,Perennial adult biomass,1941.3700059931402,2.63356721948172e-4
6,Perennial adult biomass,1936.7908734681546,2.63356721948172e-4
7,Perennial adult biomass,1934.947681273928,2.63356721948172e-4
8,Perennial adult biomass,1934.3217827958151,2.63356721948172e-4
9,Perennial adult biomass,1934.13795533631,2.63356721948172e-4
10,Perennial adult biomass,1934.092342098292,2.63356721948172e-4
11,Perennial adult biomass,1934.0838395363633,2.63356721948172e-4
12,Perennial adult biomass,1934.0833734014382,2.63356721948172e-4
13,Perennial adult biomass,1934.0839394294646,2.63356721948172e-4
14,Perennial adult biomass,1934.0843158344092,2.63356721948172e-4
15,Perennial adult biomass,1934.0844796961321,2.63356721948172e-4
16,Perennial adult biomass,1934.0845381203449,2.63356721948172e-4
17,Perennial adult biomass,1934.0845562251093,2.63356721948172e-4
18,Perennial adult biomass,1934.0845609882056,2.63356721948172e-4
19,Perennial adult biomass,1934.0845619962092,2.63356721948172e-4
20,Perennial adult biomass,1934.0845620526015,2.63356721948172e-4
21,Perennial adult biomass,1934.084561982147,2.63356721948172e-4
22,Perennial adult biomass,1934.0845619916329,2.63356721948172e-4
23,Perennial adult biomass,1934.0845619532122,2.63356721948172e-4
24,Perennial adult biomass,1934.0845619771947,2.63356721948172e-4
25,Perennial adult biomass,1934.084562003771,2.63356721948172e-4
26,Perennial adult biomass,1934.0845619433726,2.63356721948172e-4
27,Perennial adult biomass,1934.0845619455267,2.63356721948172e-4
28,Perennial adult biomass,1934.0845619567167,2.63356721948172e-4
29,Perennial adult biomass,1934.0845619687275,2.63356721948172e-4
30,Perennial adult biomass,1934.0845619239185,2.63356721948172e-4
31,Perennial adult biomass,1934.0845619127545,2.63356721948172e-4
32,Perennial adult biomass,1934.084561975829,2.63356721948172e-4
33,Perennial adult biomass,1934.0845619264728,2.63356721948172e-4
34,Perennial adult biomass,1934.0845619454271,2.63356721948172e-4
35,Perennial adult biomass,1934.08456195655,2.63356721948172e-4
36,Perennial adult biomass,1934.0845620027144,2.63356721948172e-4
37,Perennial adult biomass,1934.0845620141586,2.63356721948172e-4
38,Perennial adult biomass,1934.0845619522022,2.63356721948172e-4
39,Perennial adult biomass,1934.084562003053,2.63356721948172e-4
40,Perennial adult biomass,1934.0845619567424,2.63356721948172e-4
41,Perennial adult biomass,1934.0845619274673,2.63356721948172e-4
42,Perennial adult biomass,1934.0845619708389,2.63356721948172e-4
43,Perennial adult biomass,1934.0845619164684,2.63356721948172e-4
44,Perennial adult biomass,1934.0845619718987,2.63356721948172e-4
45,Perennial adult biomass,1934.0845620178159,2.63356721948172e-4
46,Perennial adult biomass,1934.084561939061,2.63356721948172e-4
47,Perennial adult biomass,1934.084561960927,2.63356721948172e-4
48,Perennial adult biomass,1934.0845620020377,2.63356721948172e-4
49,Perennial adult biomass,1934.0845619750594,2.63356721948172e-4
50,Perennial adult biomass,1934.0845620245325,2.63356721948172e-4
1,Annual susceptible biomass,0.016827359874241665,2.63356721948172e-4
2,Annual susceptible biomass,0.01481693451614774,2.63356721948172e-4
3,Annual susceptible biomass,0.01481931067195319,2.63356721948172e-4
4,Annual susceptible biomass,0.015038360518303762,2.63356721948172e-4
5,Annual susceptible biomass,0.015164181570128221,2.63356721948172e-4
6,Annual susceptible biomass,0.015215913302029094,2.63356721948172e-4
7,Annual susceptible biomass,0.015233771888858882,2.63356721948172e-4
8,Annual susceptible biomass,0.015239098136362372,2.63356721948172e-4
9,Annual susceptible biomass,0.015240441652963455,2.63356721948172e-4
10,Annual susceptible biomass,0.015240701530785827,2.63356721948172e-4
11,Annual susceptible biomass,0.015240721040129301,2.63356721948172e-4
12,Annual susceptible biomass,0.015240708762235045,2.63356721948172e-4
13,Annual susceptible biomass,0.015240695432169105,2.63356721948172e-4
14,Annual susceptible biomass,0.015240693624775759,2.63356721948172e-4
15,Annual susceptible biomass,0.015240691457904632,2.63356721948172e-4
16,Annual susceptible biomass,0.015240685420678801,2.63356721948172e-4
17,Annual susceptible biomass,0.01524069066113043,2.63356721948172e-4
18,Annual susceptible biomass,0.015240690629923392,2.63356721948172e-4
19,Annual susceptible biomass,0.015240691250596683,2.63356721948172e-4
20,Annual susceptible biomass,0.01524068842621773,2.63356721948172e-4
21,Annual susceptible biomass,0.015240687121263363,2.63356721948172e-4
22,Annual susceptible biomass,0.015240689371296412,2.63356721948172e-4
23,Annual susceptible biomass,0.015240687800144315,2.63356721948172e-4
24,Annual susceptible biomass,0.015240689439281141,2.63356721948172e-4
25,Annual susceptible biomass,0.015240690532380086,2.63356721948172e-4
26,Annual susceptible biomass,0.015240687392292784,2.63356721948172e-4
27,Annual susceptible biomass,0.015240688090102594,2.63356721948172e-4
28,Annual susceptible biomass,0.015240688526205304,2.63356721948172e-4
29,Annual susceptible biomass,0.01524068898436326,2.63356721948172e-4
30,Annual susceptible biomass,0.01524068674427781,2.63356721948172e-4
31,Annual susceptible biomass,0.015240686679476312,2.63356721948172e-4
32,Annual susceptible biomass,0.015240689724180356,2.63356721948172e-4
33,Annual susceptible biomass,0.015240686781169188,2.63356721948172e-4
34,Annual susceptible biomass,0.015240688187816431,2.63356721948172e-4
35,Annual susceptible biomass,0.015240688529388535,2.63356721948172e-4
36,Annual susceptible biomass,0.015240690640325738,2.63356721948172e-4
37,Annual susceptible biomass,0.015240690816142433,2.63356721948172e-4
38,Annual susceptible biomass,0.01524068774119769,2.63356721948172e-4
39,Annual susceptible biomass,0.015240690799998902,2.63356721948172e-4
40,Annual susceptible biomass,0.015240688056678664,2.63356721948172e-4
41,Annual susceptible biomass,0.015240687098582839,2.63356721948172e-4
42,Annual susceptible biomass,0.01524068944792134,2.63356721948172e-4
43,Annual susceptible biomass,0.015240686382185231,2.63356721948172e-4
44,Annual susceptible biomass,0.015240689560357623,2.63356721948172e-4
45,Annual susceptible biomass,0.015240691241274362,2.63356721948172e-4
46,Annual susceptible biomass,0.015240687070047443,2.63356721948172e-4
47,Annual susceptible biomass,0.015240688880055586,2.63356721948172e-4
48,Annual susceptible biomass,0.015240690601842743,2.63356721948172e-4
49,Annual susceptible biomass,0.015240688942924407,2.63356721948172e-4
50,Annual susceptible biomass,0.015240691606152268,2.63356721948172e-4
1,Perennial first-year susceptible biomass,0.024553969993775127,2.63356721948172e-4
2,Perennial first-year susceptible biomass,0.015496028603735112,2.63356721948172e-4
3,Perennial first-year susceptible biomass,0.01469528540809506,2.63356721948172e-4
4,Perennial first-year susceptible biomass,0.0148434679622369,2.63356721948172e-4
5,Perennial first-year susceptible biomass,0.014988373228959517,2.63356721948172e-4
6,Perennial first-year susceptible biomass,0.015055907265661972,2.63356721948172e-4
7,Perennial first-year susceptible biomass,0.015081353890138871,2.63356721948172e-4
8,Perennial first-year susceptible biomass,0.015089570138201225,2.63356721948172e-4
9,Perennial first-year susceptible biomass,0.01509183546735926,2.63356721948172e-4
10,Perennial first-year susceptible biomass,0.015092351096996026,2.63356721948172e-4
11,Perennial first-year susceptible biomass,0.015092429942313856,2.63356721948172e-4
12,Perennial first-year susceptible biomass,0.015092434084465367,2.63356721948172e-4
13,Perennial first-year susceptible biomass,0.015092409278793184,2.63356721948172e-4
14,Perennial first-year susceptible biomass,0.015092416243220441,2.63356721948172e-4
15,Perennial first-year susceptible biomass,0.015092411624664237,2.63356721948172e-4
16,Perennial first-year susceptible biomass,0.015092385461485947,2.63356721948172e-4
17,Perennial first-year susceptible biomass,0.01509240997918937,2.63356721948172e-4
18,Perennial first-year susceptible biomass,0.015092409920583805,2.63356721948172e-4
19,Perennial first-year susceptible biomass,0.01509241277059914,2.63356721948172e-4
20,Perennial first-year susceptible biomass,0.015092399805240575,2.63356721948172e-4
21,Perennial first-year susceptible biomass,0.015092393797800696,2.63356721948172e-4
22,Perennial first-year susceptible biomass,0.015092404144184002,2.63356721948172e-4
23,Perennial first-year susceptible biomass,0.01509239692146025,2.63356721948172e-4
24,Perennial first-year susceptible biomass,0.01509240445457749,2.63356721948172e-4
25,Perennial first-year susceptible biomass,0.015092409471179735,2.63356721948172e-4
26,Perennial first-year susceptible biomass,0.015092395044945306,2.63356721948172e-4
27,Perennial first-year susceptible biomass,0.015092398255973194,2.63356721948172e-4
28,Perennial first-year susceptible biomass,0.015092400259192118,2.63356721948172e-4
29,Perennial first-year susceptible biomass,0.015092402365979751,2.63356721948172e-4
30,Perennial first-year susceptible biomass,0.015092392061603732,2.63356721948172e-4
31,Perennial first-year susceptible biomass,0.015092391761697854,2.63356721948172e-4
32,Perennial first-year susceptible biomass,0.015092405762516137,2.63356721948172e-4
33,Perennial first-year susceptible biomass,0.015092392230258156,2.63356721948172e-4
34,Perennial first-year susceptible biomass,0.015092398705348842,2.63356721948172e-4
35,Perennial first-year susceptible biomass,0.015092400276131457,2.63356721948172e-4
36,Perennial first-year susceptible biomass,0.01509240996472272,2.63356721948172e-4
37,Perennial first-year susceptible biomass,0.015092410770819242,2.63356721948172e-4
38,Perennial first-year susceptible biomass,0.015092396651084528,2.63356721948172e-4
39,Perennial first-year susceptible biomass,0.015092410696098568,2.63356721948172e-4
40,Perennial first-year susceptible biomass,0.015092398101472781,2.63356721948172e-4
41,Perennial first-year susceptible biomass,0.015092393691304551,2.63356721948172e-4
42,Perennial first-year susceptible biomass,0.015092404494424727,2.63356721948172e-4
43,Perennial first-year susceptible biomass,0.015092390392140942,2.63356721948172e-4
44,Perennial first-year susceptible biomass,0.015092405011330357,2.63356721948172e-4
45,Perennial first-year susceptible biomass,0.015092412718274772,2.63356721948172e-4
46,Perennial first-year susceptible biomass,0.015092393561701556,2.63356721948172e-4
47,Perennial first-year susceptible biomass,0.01509240188562444,2.63356721948172e-4
48,Perennial first-year susceptible biomass,0.015092409788451278,2.63356721948172e-4
49,Perennial first-year susceptible biomass,0.015092402174843755,2.63356721948172e-4
50,Perennial first-year susceptible biomass,0.015092414390096565,2.63356721948172e-4
1,Perennial adult susceptible biomass,0.14645511547610113,2.63356721948172e-4
2,Perennial adult susceptible biomass,0.11170438567137353,2.63356721948172e-4
3,Perennial adult susceptible biomass,0.10446798457383011,2.63356721948172e-4
4,Perennial adult susceptible biomass,0.10501303804403506,2.63356721948172e-4
5,Perennial adult susceptible biomass,0.10599686355226368,2.63356721948172e-4
6,Perennial adult susceptible biomass,0.10650746087526386,2.63356721948172e-4
7,Perennial adult susceptible biomass,0.10671087020523373,2.63356721948172e-4
8,Perennial adult susceptible biomass,0.10677934023465241,2.63356721948172e-4
9,Perennial adult susceptible biomass,0.10679899000001569,2.63356721948172e-4
10,Perennial adult susceptible biomass,0.106803750555855,2.63356721948172e-4
11,Perennial adult susceptible biomass,0.10680460660228164,2.63356721948172e-4
12,Perennial adult susceptible biomass,0.10680474181549471,2.63356721948172e-4
13,Perennial adult susceptible biomass,0.1068045086606162,2.63356721948172e-4
14,Perennial adult susceptible biomass,0.10680461503056904,2.63356721948172e-4
