iteration,disease,resident,E.A,E.P,e.A,e.P,s,b.A,b.P,Y.A,y.1,Y.P,g.A,g.P,l.A,l.P,L.A,L.P,beta.A,beta.P,ann_invades,per_invades,per_viable,outcome,litter_producer,litter_tolerator,iterationF,ann_rel_abund,per_rel_abund,eq_litter,Resident
23,without disease,E. virginicus,0.06513380204628738,0.11835269784192565,0.21946773311678966,0.2198880525811374,0.9470580569995057,14.789014626008875,10.472088286588498,51.72558054780211,0.09316945966602139,9.12394296759846,0.7932814458069753,0.04636711089350347,277.71411736998476,55.40692146894193,6128.369082670649,1785.0886129346102,0.0013273798136996073,4.805951112710444e-4,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: M. vimineum,23,0.9999999999996851,3.1484967740324835e-13,1785.0886129346097,Resident: E. virginicus
24,without disease,E. virginicus,0.21078939307550623,0.21735100650985972,0.21951045425429733,0.21987801632146478,0.7538286946429191,16.97983956200723,4.340952285932924,259.55814833474915,0.11271581255817309,23.373935350599375,0.7398393887905129,0.04196286268147863,122.06749112019008,2.6316685449166664,4541.595031606752,36.770386761542795,0.0011251809787683569,3.161892311670091e-4,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: M. vimineum,24,1,9.109111166059358e-106,36.77038676154278,Resident: E. virginicus
25,without disease,E. virginicus,0.0016553041674633076,0.0336302012424068,0.21954544303329906,0.21989843082653296,0.8615003839001295,20.415675508543153,5.55576788368111,1.6127700655462167,192.90155351756988,2.598196619974506,0.7761433563967293,0.037917006303196076,155.38626222503052,2488.705509463719,2426.8758791482114,15241.548692347555,0.006374472900315192,2.6822165171117945e-4,0,1,1,E. virginicus only,Producer: E. virginicus,Tolerant: M. vimineum,25,0,1,20649.78280336828,Resident: E. virginicus
26,without disease,E. virginicus,0.1804936941941024,0.2034008207889526,0.21994769769624903,0.21996323312786334,0.9476458797682308,18.39593178773334,4.701917024866923,31.36136077163944,0.015121322783377628,6.713475482432685,0.7627888982155882,0.036361204708250286,310.7560679295436,61.42441525896114,20482.484211516963,1552.2402036238818,1.408218733221409e-4,5.2458028402393994e-5,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: M. vimineum,26,0.999999999999996,3.944367232812552e-15,1552.2402036238732,Resident: E. virginicus
27,without disease,E. virginicus,0.018101162456312884,0.025217016309426184,0.1807645110060696,0.21999971486870218,0.99,12.56477709605617,4.545585023136299,2.373997345536475,0.0016724508738126494,6.209546697532979,0.7395828480657991,0.06085918614879139,73.19042133777532,1933.1789944102568,2546.8591891069905,6090.016307889684,0.0014755962034589537,0.0012683554109353009,0,1,1,E. virginicus only,Producer: E. virginicus,Tolerant: M. vimineum,27,0,1,6089.977849630964,Resident: E. virginicus
28,without disease,E. virginicus,0.088184677136009,0.08910165182108888,0.2148953817938948,0.21991113077879737,0.9510038590644548,15.33668881006409,4.784464450295677,8.554363078984291,0.03718004111061069,18.25640838621458,0.8086710996385845,0.02854994649607427,65.64151934812344,105.64922853410775,2914.7166021370276,1185.822014983718,0.0012117155132425246,0.0012380379333195547,0,1,1,E. virginicus only,Producer: M. vimineum,Tolerant: E. virginicus,28,4.531191486077746e-179,1,1185.822014983718,Resident: E. virginicus
29,without disease,E. virginicus,0.011979485173497803,0.04012227077431352,0.1575341340357814,0.21999999978526724,0.9857596712902089,13.997809445364224,3.258596250302711,3.68550349118359,0.0028074567287541216,4.462622665154329,0.7645071930226454,0.07585290292242979,241.6139671116128,2879.2468809538236,5854.637991275061,10345.264534161608,0.0011744819976015621,4.333615033074522e-4,0,1,1,E. virginicus only,Producer: E. virginicus,Tolerant: M. vimineum,29,0,1,10345.263627399758,Resident: E. virginicus
30,without disease,E. virginicus,0.083312660741615,0.2182706357267831,0.21893455370355194,0.21983959635724412,0.8674691539334184,17.283200320070456,5.561808254008395,11.395068759452199,0.0028142737257292566,4.882163501079502,0.8180510680178128,0.11879653371204678,414.8178161128499,199.05105915157088,17630.27450455219,6167.830900068162,2.6392852990992955e-4,1.1654248503804508e-6,0,1,1,E. virginicus only,Producer: M. vimineum,Tolerant: M. vimineum,30,1.0416498812940451e-89,1,6167.830900068156,Resident: E. virginicus
31,without disease,E. virginicus,0.04247368899164467,0.07087848624719977,0.21795650462823313,0.2199746375644007,0.9547673993610428,14.670225775312721,4.944180586189985,94.4642968536731,0.009107952889597797,41.37430821919942,0.75273999180467,0.014619612152120943,226.4822561943207,43.555870206006766,1934.3785881332255,382.939129932244,0.010789091225532399,0.005493160051416374,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: M. vimineum,31,0.9999999999993998,6.001914012633813e-13,382.9391299322434,Resident: E. virginicus
32,without disease,E. virginicus,0.08296900796231303,0.19653826804643665,0.2198684607585686,0.21999734857968012,0.9698239793282512,15.203756951065781,7.447418379088027,8.232369822923838,0.0065108998657187975,4.404362484867977,0.7962606803175405,0.03313595524914023,116.16399320557468,87.37596385557931,6116.24501108312,3442.017091512991,4.7937214385968625e-4,3.467774434073746e-5,0,1,1,E. virginicus only,Producer: M. vimineum,Tolerant: M. vimineum,32,1.2132410868736363e-220,1,3442.0170802733055,Resident: E. virginicus
