site_plot,trial,seeds,germination_final,seeds_dark,seeds_light,seeds_infect,prop_germ,prop_dark,prop_light,site,plot,treatment,fungicide,plotf,sp,age,jul_severity,late_aug_severity,sep_severity
D3 9W,3,30,25,2,3,1,0.8333333333333334,0.06666666666666667,0.1,D3,9,control,0,D39c,Mv,seedling,4.655825999084707e-4,0.07103346406560383,0.6263069052827394
D4 10W,3,30,26,0,1,1,0.8666666666666667,0,0.03333333333333333,D4,10,control,0,D410c,Mv,seedling,8.242659867208604e-4,0.05292049166981681,0.2431616904918072
D4 1F,3,30,25,0,7,1,0.8333333333333334,0,0.23333333333333334,D4,1,fungicide,1,D41f,Mv,seedling,0.00475529978720576,0.00251994523965152,0.01717811474792304
D4 1W,3,30,29,0,5,1,0.9666666666666667,0,0.16666666666666666,D4,1,control,0,D41c,Mv,seedling,0.00243230647585235,0.05097180658371395,0.19004957934340275
D4 2F,3,30,24,0,8,1,0.8,0,0.26666666666666666,D4,2,fungicide,1,D42f,Mv,seedling,3.0649411258392567e-4,0.01804598692922691,0.01058719864127326
D4 2W,3,30,25,0,2,1,0.8333333333333334,0,0.06666666666666667,D4,2,control,0,D42c,Mv,seedling,0.0033456174955869,0.03800497617336958,0.28808662577886474
D4 3F,3,30,18,2,8,1,0.6,0.06666666666666667,0.26666666666666666,D4,3,fungicide,1,D43f,Mv,seedling,0.00242360909365496,0.02698814627417277,0.11472996741092804
D4 3W,3,30,24,1,6,1,0.8,0.03333333333333333,0.2,D4,3,control,0,D43c,Mv,seedling,0.00102008081293437,0.11443475743793804,0.21660340775006243
D4 4F,3,30,29,0,10,1,0.9666666666666667,0,0.3333333333333333,D4,4,fungicide,1,D44f,Mv,seedling,4.904173872445465e-4,0.00102170070602293,0.00475115906708899
D4 4W,3,22,22,0,3,1,1,0,0.13636363636363635,D4,4,control,0,D44c,Mv,seedling,0.00104131316286739,0.06844452014008054,0.31324104781298423
D4 5F,3,30,23,0,6,1,0.7666666666666667,0,0.2,D4,5,fungicide,1,D45f,Mv,seedling,3.802572789170694e-4,0.00219338621096522,0.00335171606114369
D4 5W,3,30,27,0,7,1,0.9,0,0.23333333333333334,D4,5,control,0,D45c,Mv,seedling,7.286542477611277e-4,0.02233585592508012,0.05461657353848931
D4 6F,3,30,26,0,3,1,0.8666666666666667,0,0.1,D4,6,fungicide,1,D46f,Mv,seedling,NA,0.0032238789551582,0.0070181460420483
D4 6W,3,30,26,0,9,1,0.8666666666666667,0,0.3,D4,6,control,0,D46c,Mv,seedling,4.4782308942075593e-4,0.01098057841493242,0.18166852501016784
D4 7F,3,30,27,0,7,1,0.9,0,0.23333333333333334,D4,7,fungicide,1,D47f,Mv,seedling,6.654292911265898e-5,0.00434226677994348,0.01402657698546152
D4 7W,3,29,23,0,14,1,0.7931034482758621,0,0.4827586206896552,D4,7,control,0,D47c,Mv,seedling,0.00196194396366458,0.03335244747183497,0.2072619247009459
D4 8W,3,30,24,0,11,1,0.8,0,0.36666666666666664,D4,8,control,0,D48c,Mv,seedling,6.18522407143674e-4,0.03681182846819435,0.19169097432067875
D4 9F,3,30,24,1,4,1,0.8,0.03333333333333333,0.13333333333333333,D4,9,fungicide,1,D49f,Mv,seedling,6.855017342264333e-4,0.01283864781965277,0.03073143324367555
D4 9W,3,30,22,0,9,1,0.7333333333333333,0,0.3,D4,9,control,0,D49c,Mv,seedling,0.00167103296848208,0.0532513897743751,0.1098768260790557
D3 10F,4,30,27,2,7,1,0.9,0.06666666666666667,0.23333333333333334,D3,10,fungicide,1,D310f,Mv,seedling,6.546427956162787e-4,0.01994198461310688,0.04491877416429894
D2 9W,4,30,29,1,9,1,0.9666666666666667,0.03333333333333333,0.3,D2,9,control,0,D29c,Mv,seedling,0.0024091253865453,0.03106270198986194,0.069845944138676
