d_in,iter,A0,S0,P0,L0,simtime,mv_ndis,ev_ndis,mv_ydis,ev_ydis
0.05,42,0,0,0,0,2,227681.88829282467,6442.980820019556,45912.07539021895,15043.494740006066
0.05,43,0,0,0,0,2,94064.99220212075,17314.113141727485,49140.650173498725,9306.456758270562
0.05,44,0,0,0,0,2,30417.468564660652,158502.7911295293,53411.95320187496,17489.214933105275
0.05,45,0,0,0,0,2,50518.440165221575,14243.71487989374,62812.077534705306,15676.672607861077
0.05,46,0,0,0,0,2,17815.05453738903,3856.307778053033,64992.01644552243,8445.040801586403
0.05,47,0,0,0,0,2,61198.93968737691,14704.197003729754,41073.667565396056,8550.42632249125
0.05,48,0,0,0,0,2,70287.74091424583,35670.250119033175,90434.1999613239,7556.6219718912525
0.05,49,0,0,0,0,2,93524.38216917841,26723.329764226466,48064.8633661961,6832.559582904705
0.05,50,0,0,0,0,2,60230.33340580581,18922.59249591443,52355.25426686655,21506.32038123189
0.05,51,0,0,0,0,2,199520.70695539354,37645.14544294881,59150.69294120457,19107.989684531305
0.05,52,0,0,0,0,2,98148.59785214442,34171.66773496163,75765.6765974613,17594.68939064781
0.05,53,0,0,0,0,2,128085.50094527734,15736.269684585879,88646.89804834197,6445.442221488755
0.05,54,0,0,0,0,2,102253.97128894809,56238.5661386181,63611.89982954971,23261.022359571107
0.05,55,0,0,0,0,2,9182.934189375734,66088.51984844306,47904.18936260555,22810.874717624873
0.05,56,0,0,0,0,2,57547.555898699655,88576.05229401494,45872.959933002545,119397.74148043474
0.05,57,0,0,0,0,2,79879.01887827246,23711.349463934657,109980.42856880777,6548.079505611635
0.05,58,0,0,0,0,2,506583.96987703757,17027.89625365803,50412.78373568702,1990.3528822076803
0.05,59,0,0,0,0,2,45525.43065521506,22175.81568101263,67059.60720693103,13874.258248505055
0.05,60,0,0,0,0,2,16695.27567014365,19905.43764363787,40135.37258628105,10095.318477623412
0.05,61,0,0,0,0,2,42459.446450408446,296107.9176534739,48588.98227911288,33343.202641699885
0.05,62,0,0,0,0,2,27310.788687103108,48864.87424661432,79511.23858926525,10638.009335893497
0.05,63,0,0,0,0,2,125721.07225232279,17285.961744653298,65795.64726441319,36602.066571073294
0.05,64,0,0,0,0,2,63184.65869745384,38580.825499650186,52241.09832459653,14861.683977701745
0.05,65,0,0,0,0,2,177255.15292836702,155526.11562747904,46442.700338071445,16872.344231469087
0.05,66,0,0,0,0,2,138153.91354070193,179830.89614617266,51309.843627512804,14518.794805912637
0.05,67,0,0,0,0,2,42481.35264646426,12409.651902511203,57039.11991626674,16927.560001457943
0.05,68,0,0,0,0,2,169860.9784911569,154544.59802635846,78440.03240651931,23905.699160412954
0.05,69,0,0,0,0,2,17482.212034717406,24520.579700456554,46638.46851287938,5678.654955854137
0.05,70,0,0,0,0,2,458749.3819242092,4923.064184851357,80457.45957636711,6237.029177966495
0.05,71,0,0,0,0,2,369367.2839826399,18473.193809699063,63361.565668047384,9174.356575298885
0.05,72,0,0,0,0,2,52705.4327703152,9293.912543268674,42452.98692112215,16987.79591044679
0.05,73,0,0,0,0,2,143505.9336295882,16871.60211924032,86533.6958163814,8630.485810339736
0.05,74,0,0,0,0,2,51010.916062825556,10895.13175000025,82301.13006791944,22524.597194011298
0.05,75,0,0,0,0,2,98709.97938935256,36941.18399851687,115216.11566937673,13449.913513142077
0.05,76,0,0,0,0,2,43844.667342870285,18563.607343407068,49304.068104912905,12134.552160065075
0.05,77,0,0,0,0,2,129505.83825596522,83406.87692674682,54224.459909261415,37228.02205077321
0.05,78,0,0,0,0,2,16379.459161340657,62209.709409006275,64689.496541804794,14846.481455920597
0.05,79,0,0,0,0,2,61584.90787197369,26761.935401179548,103693.5562894787,7807.087548609394
0.05,80,0,0,0,0,2,31464.60188487404,10060.712359343997,52720.4772043695,9157.244438298014
0.05,81,0,0,0,0,2,36741.974423549014,6578.899200857253,43263.389229338056,3766.21684961161
0.05,82,0,0,0,0,2,70464.61177126034,14457.127600215288,80263.79628293298,11538.602681348168
0.05,83,0,0,0,0,2,76708.01736876709,69265.9997696609,48911.127021393935,51178.939499874235
0.05,84,0,0,0,0,2,65507.10922131797,28111.866818379396,85114.97455476559,19662.488764176054
0.05,85,0,0,0,0,2,93407.33799523319,104956.3905204663,66160.81241303073,13966.543218190967
0.05,86,0,0,0,0,2,48728.233378431265,31845.21462547451,52616.126280466095,19637.570666549967
0.05,87,0,0,0,0,2,163314.34814242466,35152.10422075798,49273.90011902318,10995.12072292632
0.05,88,0,0,0,0,2,57526.725577227975,23549.80820407656,40899.3119197313,16032.265322914533
0.05,89,0,0,0,0,2,100134.20425062395,10709.337293811534,41515.272235697244,10598.946101130292
0.05,90,0,0,0,0,2,73969.28966971957,182124.12897337083,66415.4768848355,18114.243126392048
0.05,91,0,0,0,0,2,89044.33832683096,20702.628640547573,75202.45297772496,9354.437638467027
0.05,92,0,0,0,0,2,51522.44620136821,5584.1861647341675,54716.02301035722,1884.366128156555
0.05,93,0,0,0,0,2,114652.7345712621,32905.03901589445,90476.05454179237,13300.747751255578
0.05,94,0,0,0,0,2,482030.4606212724,71088.16384285354,119243.29376480388,8806.66909299459
0.05,95,0,0,0,0,2,277004.3143140238,20583.841789154794,68863.15923356262,24538.150530430856
0.05,96,0,0,0,0,2,81541.57132993403,40708.725811407654,65961.116197093,12518.767870551785
0.05,97,0,0,0,0,2,13308.121961960538,62911.251048113896,48581.27963728964,25705.13032177539
0.05,98,0,0,0,0,2,121706.41747070721,6406.441412097531,53264.92765919838,4988.059711564886
0.05,99,0,0,0,0,2,399599.0411689278,1121.2399917110704,155169.65709798128,8894.107760210154
0.05,100,0,0,0,0,2,115018.98182649068,11195.811107361536,67937.60000007164,8048.592782482003
0.05,101,0,0,0,0,2,146851.19745827932,6219.014381120215,63179.736283339014,5281.956939405013
0.05,102,0,0,0,0,2,129874.69666922864,14797.529205974677,57551.11245280109,9743.214204769896
0.05,103,0,0,0,0,2,42638.26504046337,29802.3239656145,52101.622797133205,19928.416152318045
0.05,104,0,0,0,0,2,122397.51517146717,20879.22398618879,53612.86676222466,17417.590860608732
0.05,105,0,0,0,0,2,159211.7246297961,7394.461305685869,101148.13124977273,4294.739933165679
0.05,106,0,0,0,0,2,84127.3182498115,55969.54387044278,70693.2238652194,21331.520527628836
0.05,107,0,0,0,0,2,68458.90431424577,19259.549698029085,205497.70647897143,10245.463640929647
0.05,108,0,0,0,0,2,37585.254266010874,35959.13948536107,66200.95262440422,9528.933612492312
0.05,109,0,0,0,0,2,179851.6681342537,20323.556627316157,59102.954361224634,63635.50683892067
0.05,110,0,0,0,0,2,619991.9341949777,6277.550546363905,80298.93441928166,12142.737790080544
0.05,111,0,0,0,0,2,30472.534918512392,60724.10029390215,56754.54896433184,23779.47971709575
0.05,112,0,0,0,0,2,92223.08596740305,19242.309348430095,88974.19719293687,7557.307763537829
0.05,113,0,0,0,0,2,45329.942830233114,259187.4167569145,56528.102908659464,22023.959086164825
0.05,114,0,0,0,0,2,120341.8785636878,5819.636555019744,52480.96261314588,7715.2408563171275
0.05,115,0,0,0,0,2,83639.73756026743,139750.2795042765,77609.61680942363,1713.0484567352178
0.05,116,0,0,0,0,2,59821.24993766358,239828.82392836662,90417.54303348635,1136.6049273254243
0.05,117,0,0,0,0,2,14918.366820025392,38914.941443312695,49142.774845707056,28714.435124143456
0.05,118,0,0,0,0,2,107182.58011533147,111357.81662063666,79332.1827220392,16095.797448147916
0.05,119,0,0,0,0,2,808150.9576260892,42219.1204371073,53849.170450639,30828.195915782082
0.05,120,0,0,0,0,2,38075.478250142136,52659.874665884854,47413.06719078193,8859.142162830643
0.05,121,0,0,0,0,2,84960.379074052,5296.431560898438,59350.04772043841,8473.038750198883
0.05,122,0,0,0,0,2,94501.87043259735,71627.80209634511,52677.84614656391,14998.97826092066
0.05,123,0,0,0,0,2,56950.11216399052,8910.12203247326,57264.11298459611,25997.39989165998
0.05,124,0,0,0,0,2,34733.98389704602,14254.485667933975,51007.92422871419,10268.86482606448
0.05,125,0,0,0,0,2,52388.192056039145,202364.75983780032,46332.65311074973,20718.32178321036
0.05,126,0,0,0,0,2,164730.64219765837,16578.58752599144,91097.04604853447,5250.017705632652
0.05,127,0,0,0,0,2,180423.05292151636,142449.05578694335,44767.84419407704,11668.675628935409
0.05,128,0,0,0,0,2,51831.34310432944,9312.496280467029,49901.22745287856,8265.13399809843
0.05,129,0,0,0,0,2,34582.28859119408,44018.63922367278,46459.76383854163,11308.887461696595
0.05,130,0,0,0,0,2,376886.2334788348,6827.78258163644,72057.45494455862,28566.848380650823
0.05,131,0,0,0,0,2,62461.4875043999,8917.66117878862,51330.668264531625,2682.726259960238
0.05,132,0,0,0,0,2,21938.97156454707,33600.09850913176,70709.78641859237,16266.607622914764
0.05,133,0,0,0,0,2,75542.33103612524,3516.0787530313055,48344.51536098359,9653.134976406756
0.05,134,0,0,0,0,2,54110.069151842436,47341.454541947794,59750.85933585261,15811.319634680018
0.05,135,0,0,0,0,2,156911.97669380007,7295.206066766007,110352.53170881064,5045.452328688072
0.05,136,0,0,0,0,2,229239.5785839492,30044.24118779735,68695.61881854164,19422.01714291145
0.05,137,0,0,0,0,2,12584.498538653084,14153.947766493704,68526.64688502887,19782.697717603667
0.05,138,0,0,0,0,2,32429.352505300438,38412.642660700425,59931.43176359727,39380.96582026314
0.05,139,0,0,0,0,2,84413.20397136974,18636.358055490855,70668.19185083768,9190.82767590185
0.05,140,0,0,0,0,2,75860.17252874128,16854.369064308907,67648.33520794979,9792.730434737503
0.05,141,0,0,0,0,2,211157.01284316313,75569.85886047038,112787.85962256824,6519.06916062544
0.05,142,0,0,0,0,2,38709.40058861105,119737.60709061033,50303.90818635374,40889.50103777654
0.05,143,0,0,0,0,2,71782.92864262647,29020.563719397014,58303.29449905456,10030.747631674783
0.05,144,0,0,0,0,2,244836.24290231528,55674.69846729467,54343.258848869074,28386.830154913547
0.05,145,0,0,0,0,2,183379.02939628827,3042.255541295556,66210.20778421276,2830.386485162733
0.05,146,0,0,0,0,2,545118.5714956732,157812.2129150462,54535.260396674435,28355.438939349267
0.05,147,0,0,0,0,2,32291.680126055402,37939.92242069167,48628.79247836819,6311.165792868467
0.05,148,0,0,0,0,2,456431.7222011186,55915.2357287883,288721.9907842348,24986.65131698416
0.05,149,0,0,0,0,2,75560.24678540051,61838.702429962264,65970.4538350444,10172.40795562799
0.05,150,0,0,0,0,2,63994.86214281969,92057.08313986329,71038.06479055445,13428.97776037736
0.05,151,0,0,0,0,2,85007.44491455077,9069.391227346918,63471.149648161256,12831.830866692484
0.05,152,0,0,0,0,2,19403.542216710128,79910.67077020384,51764.35409031624,20562.795021887152
0.05,153,0,0,0,0,2,192096.21471017355,50457.07601169171,116331.12603761951,10549.16469716636
0.05,154,0,0,0,0,2,36373.41613229826,25894.60447536241,79716.0876173662,3977.8329519165213
0.05,155,0,0,0,0,2,516083.54788798233,3297.104965469016,74729.39857870953,6385.820322071691
0.05,156,0,0,0,0,2,152592.14088887698,16556.40532934858,59414.415707301116,7026.610507820285
0.05,157,0,0,0,0,2,39706.153678492105,379490.21984085604,54877.94862567771,33711.63012591347
0.05,158,0,0,0,0,2,92499.52137839186,123806.16197273912,53600.94410904799,42320.65701814823
0.05,159,0,0,0,0,2,41894.87587114334,11761.14556818625,65318.36168164568,12165.764323775333
0.05,160,0,0,0,0,2,24773.941491163405,27277.34959009006,60174.879632775985,24416.810099624487
0.05,161,0,0,0,0,2,24027.865721894927,32531.857840680183,52596.98054646445,20336.151980654176
0.05,162,0,0,0,0,2,47115.38080028274,30974.33613337407,50825.713966664625,19757.66773217412
0.05,163,0,0,0,0,2,79186.61310913877,159571.17441592904,53930.13411360892,8588.783196188246
0.05,164,0,0,0,0,2,101918.20920092313,83397.82245748857,53826.9657235234,8225.14209702616
0.05,165,0,0,0,0,2,50451.75358667739,17525.685782773733,67019.02846415697,9681.266693845717
0.05,166,0,0,0,0,2,136207.57105688023,33502.00858203471,88777.94137881791,16272.490805861416
0.05,167,0,0,0,0,2,77971.14320653667,22406.203402421477,66504.76272195784,8742.129152147601
0.05,168,0,0,0,0,2,48945.20406684137,27529.102795023522,81281.79152476913,16108.272455879296
0.05,169,0,0,0,0,2,104455.63161432341,56568.23923222595,58253.23636777695,4486.062913804305
0.05,170,0,0,0,0,2,154701.59517827013,54592.55360441627,76917.14914004115,4025.8901777559395
0.05,171,0,0,0,0,2,53325.31916716818,29292.233441095705,72914.81763687775,11073.799322510346
0.05,172,0,0,0,0,2,135318.19720655298,365857.76838603,57884.96663117534,153126.65853899324
0.05,173,0,0,0,0,2,53302.73637125666,18863.898260646714,52433.19318062091,18169.421791249602
0.05,174,0,0,0,0,2,33440.990824352135,10292.620789266659,47184.53115051817,1449.9816581055711
0.05,175,0,0,0,0,2,51063.6116073623,5504.882121316945,78019.55130318803,3413.8851068864624
0.05,176,0,0,0,0,2,38619.63075562449,94682.05009290179,31897.10558047482,17684.263865179353
0.05,177,0,0,0,0,2,72095.72059859545,59067.854743304684,65723.80410910184,10270.918882822434
0.05,178,0,0,0,0,2,148712.1694217715,34748.12029198855,47345.530341520214,13687.800334409269
0.05,179,0,0,0,0,2,77249.13456244415,8140.571669633629,45987.634930585744,16558.304484891934
0.05,180,0,0,0,0,2,79953.61052276607,11766.61118154044,54007.861250391245,10102.755306804926
0.05,181,0,0,0,0,2,16241.948940284965,43114.23419360233,44955.86581318019,15511.30307845279
0.05,182,0,0,0,0,2,81703.35223716791,15045.540860238027,82604.29936053557,10815.429663234705
0.05,183,0,0,0,0,2,67090.0448177313,39121.46558773732,60679.47778802354,14877.046456234988
0.05,184,0,0,0,0,2,23772.305579544434,42292.70194573431,52923.45708816837,10284.654188682402
0.05,185,0,0,0,0,2,81412.53850644657,37212.76869386838,49705.93386412794,7454.146035913011
0.05,186,0,0,0,0,2,54328.926056668795,9409.233126036514,43206.2914525078,5217.678988497371
0.05,187,0,0,0,0,2,11659.791294947066,15150.080219122892,50643.51144430465,17876.99624183444
0.05,188,0,0,0,0,2,102961.74575387617,20114.308717312524,98440.29923638041,3979.504079023257
0.05,189,0,0,0,0,2,160265.1876062235,96799.76991976207,63753.71225078046,27039.620405114933
0.05,190,0,0,0,0,2,50763.196652362014,10065.67846366824,87771.35371973057,9105.436430228048
0.05,191,0,0,0,0,2,377146.59030364617,16485.923187057302,173446.32247881868,19774.362984295956
0.05,192,0,0,0,0,2,31320.50882552992,11257.28984051982,55722.55490580337,3258.7139013364913
0.05,193,0,0,0,0,2,66604.72408382237,152487.43906487772,60295.630507622016,18510.11141780594
0.05,194,0,0,0,0,2,91225.79544063236,3504.145161853671,103878.32591250021,2623.4168916304725
0.05,195,0,0,0,0,2,43359.001024068384,62230.61492490706,53557.9367676037,6866.30982257412
0.05,196,0,0,0,0,2,2038092.1957004424,4042.2167233633463,55110.37112909758,4525.788935494384
0.05,197,0,0,0,0,2,23061.737702103434,49711.91316024985,49158.09783235618,25547.197830755074
0.05,198,0,0,0,0,2,74024.55027115575,4327.749370902951,46842.11896885065,20308.519456994818
0.05,199,0,0,0,0,2,140210.7203586841,40547.391242068814,73407.46750353184,19915.545010711903
0.05,200,0,0,0,0,2,33569.259388748316,40441.05295026047,67526.55975531618,7476.223885200357
0.05,201,0,0,0,0,2,174583.80417406466,60499.27199626462,122431.73208763506,17997.141200181024
0.05,202,0,0,0,0,2,66193.41265304001,20770.761186694028,45038.37702106498,8386.277251629748
0.05,203,0,0,0,0,2,32516.105221939575,132481.25345518245,73910.40818733351,24772.44022371483
0.05,204,0,0,0,0,2,138290.229312159,3909.6255728431825,80543.18566450747,11417.03107414107
0.05,205,0,0,0,0,2,622830.5663708725,1137401.5648292552,72376.07545499851,68013.39214652905
0.05,206,0,0,0,0,2,25081.63342467345,37807.4120329054,41914.4779408881,22083.094359769442
0.05,207,0,0,0,0,2,8060.7455173528715,1241.6125357535436,44599.27282282874,4043.855774572166
0.05,208,0,0,0,0,2,39430.11715791385,1107.6499877070428,64926.00362463562,15579.592003712314
0.05,209,0,0,0,0,2,119858.69330623014,14183.230081231439,95256.25551712282,12522.996225559164
0.05,210,0,0,0,0,2,54280.61862145799,9105.577534629834,68222.14676997511,14921.431325529204
0.05,211,0,0,0,0,2,232008.97266098508,20445.685014614402,114308.03849830254,12829.293347963076
0.05,212,0,0,0,0,2,20787.267006824146,9998.837920897318,50729.84891478083,8768.147447064433
0.05,213,0,0,0,0,2,114950.77128766435,30013.422521950466,39571.78776471594,17127.70886614477
0.05,214,0,0,0,0,2,156351.33929460714,7432.262784111834,59967.811214536814,37606.26554555546
0.05,215,0,0,0,0,2,44091.22785047575,414.0977714862165,36876.69230026498,273.42847531650057
0.05,216,0,0,0,0,2,86283.27262459155,738875.9896552988,44130.92588831848,49869.316555496305
0.05,217,0,0,0,0,2,219677.09159064488,15842.640380945271,66317.92854413751,20259.67403323883
0.05,218,0,0,0,0,2,176219.72434858273,91938.8198461034,58061.01069529635,11846.728802225975
0.05,219,0,0,0,0,2,188973.68227135434,23514.955576286815,78874.51001404563,11848.825113478239
0.05,220,0,0,0,0,2,164570.81392143999,4283.8420550023075,83370.62608296535,1168.950432726916
0.05,221,0,0,0,0,2,100264.07553706919,57304.921439971666,50733.10319347846,8390.150481621782
0.05,222,0,0,0,0,2,68151.9102463643,12194.310036041446,44418.1628261795,3598.822869864065
0.05,223,0,0,0,0,2,51494.67954067028,28737.839839850632,37540.18825000413,13135.52083836407
0.05,224,0,0,0,0,2,90172.10455341106,17203.26393108368,54284.168978276146,3039.9800882649333
0.05,225,0,0,0,0,2,344870.370600858,20031.443767326953,72515.4495724216,16252.234615267918
0.05,226,0,0,0,0,2,145485.5826574053,8742.119861032166,59678.10870759821,6329.520244223017
0.05,227,0,0,0,0,2,136293.65305950178,28967.19186286465,95171.18784316338,14888.424283428818
0.05,228,0,0,0,0,2,357062.6658358442,123103.9818205479,78556.70845472753,40069.655042152226
0.05,229,0,0,0,0,2,193952.58612944803,27901.055051735228,59857.383792699286,17747.552307811933
0.05,230,0,0,0,0,2,194463.91060983404,113849.48885117669,52101.537689525794,4632.775280065827
0.05,231,0,0,0,0,2,60065.03647615513,13363.34558094265,49533.018152681514,19782.893912860385
0.05,232,0,0,0,0,2,51542.19290152381,4438.665646479505,55915.230789522066,9402.778142464915
0.05,233,0,0,0,0,2,166582.31758189911,12257.023650683419,52362.03532957479,10645.219681544702
0.05,234,0,0,0,0,2,197800.1922588867,44269.44678449239,51026.89613347102,9800.102089450216
0.05,235,0,0,0,0,2,93062.39192508144,12196.14015031122,55720.29684864421,14719.224344904613
0.05,236,0,0,0,0,2,78848.73834246316,13120.632525422001,43899.57641290354,11949.033300984162
0.05,237,0,0,0,0,2,35789.50071590295,30902.219590465,64998.96630078018,7469.260145431388
0.05,238,0,0,0,0,2,15485.040503458888,6016.616815934316,41792.3105934855,10475.559351041386
0.05,239,0,0,0,0,2,26201.626359094626,59882.763805405935,46841.356082338534,48852.359099479516
0.05,240,0,0,0,0,2,23682.715027280177,21017.810980796057,58385.40727652313,13751.708014487025
0.05,241,0,0,0,0,2,113799.56301049476,39253.54568276879,47110.80898727643,21328.15446517545
0.05,242,0,0,0,0,2,59372.62134754348,88672.74293399251,35432.303521670474,16477.677826143234
0.05,243,0,0,0,0,2,371543.5490832482,6809.223091289203,89006.59808459341,16026.60985978447
0.05,244,0,0,0,0,2,163021.5568288078,28915.375717545514,56780.072044905,19858.501363986295
0.05,245,0,0,0,0,2,35562.66045044397,28747.316063173497,51855.9257794961,10184.363012106665
0.05,246,0,0,0,0,2,119731.63884192306,64219.91380817113,77743.67987221092,12338.300005196961
0.05,247,0,0,0,0,2,76566.91742422711,32319.523555662072,56321.915615669794,3943.47481162166
0.05,248,0,0,0,0,2,57010.02979732099,34901.48320463977,56645.25112071545,19249.306202280623
0.05,249,0,0,0,0,2,489251.4578669503,261329.80630873324,63785.561035993625,52567.744946054765
0.05,250,0,0,0,0,2,12308.560961787754,38987.345638591156,55167.75185977811,19214.131538532005
0.05,251,0,0,0,0,2,57651.573364026044,50362.73060163068,91776.2721563632,34221.40019265295
0.05,252,0,0,0,0,2,138946.53856339716,15306.332222701576,70821.37894801678,6064.523985294776
0.05,253,0,0,0,0,2,28391.803368702724,80775.40821430636,70674.36666560158,20944.77340989398
0.05,254,0,0,0,0,2,66168.07902389845,10212.219180965905,80476.49613401573,7482.073859698625
0.05,255,0,0,0,0,2,120076.05279232167,16795.781334597836,81681.09347288922,1436.530227648488
0.05,256,0,0,0,0,2,15695.114028435673,69842.10759003565,88136.86947311313,6452.809737838727
0.05,257,0,0,0,0,2,54022.885520416305,3292.614442589947,154150.66642855608,10570.30608590644
0.05,258,0,0,0,0,2,284750.8224050709,21916.337217656066,116174.27626046713,8623.45079108424
0.05,259,0,0,0,0,2,486248.41655029077,71610.7954298891,54225.00041880329,19650.258309534463
0.05,260,0,0,0,0,2,24127.334008596015,50163.947849461765,52314.13273312262,8111.704640637616
0.05,261,0,0,0,0,2,45183.56219362723,16197.034981073244,61344.60508751336,5150.392171005588
0.05,262,0,0,0,0,2,51383.49498962068,70894.46749969802,45434.55446948339,13266.590880908112
0.05,263,0,0,0,0,2,52318.096892452144,4684.420185365695,49514.248494442734,10865.397873199558
0.05,264,0,0,0,0,2,1201716.7367144574,10975.763823433783,71231.60765470852,4328.935403224585
0.05,265,0,0,0,0,2,130759.57762815269,4165.555327605259,51956.0606728356,4296.751882524662
0.05,266,0,0,0,0,2,41000.173174297546,12335.214132927791,59830.59324324903,14919.330850015142
0.05,267,0,0,0,0,2,28972.02696900404,50214.00214674063,49850.78336685458,791.7846960906236
0.05,268,0,0,0,0,2,103662.57550907909,121252.96424867789,65769.9595981802,9822.82419364164
0.05,269,0,0,0,0,2,208021.85529857004,11610.134981635712,105037.40714947754,13025.171052360938
0.05,270,0,0,0,0,2,27692.093581877933,129405.2437005306,63704.44217425255,16780.01606488451
0.05,271,0,0,0,0,2,218148.54177626767,13881.587689102991,64200.47156800243,19211.83537508274
0.05,272,0,0,0,0,2,68712.51940025634,1349.0920275083954,71677.22764388901,1262.3787267290045
0.05,273,0,0,0,0,2,65747.9897170873,8181.506451250825,48887.06098762362,12963.334820877537
0.05,274,0,0,0,0,2,43878.171057204614,47703.34347902449,36367.920417384354,26230.435501363623
0.05,275,0,0,0,0,2,69687.05555545868,35175.00574158787,50726.920513793746,7818.853680867793
0.05,276,0,0,0,0,2,19196.43647027159,13220.439969666742,53611.48581941221,30858.646271602905
0.05,277,0,0,0,0,2,64500.34252897585,45497.0444597647,61235.209432473195,15178.967998965096
0.05,278,0,0,0,0,2,137720.7748033727,768.4004533799538,70958.40727017594,11205.620190034522
0.05,279,0,0,0,0,2,125251.52399928414,13955.312124674228,70191.64685907104,8599.736726436717
0.05,280,0,0,0,0,2,41785.97322849262,21574.41313199139,94520.098277275,5216.036142033721
0.05,281,0,0,0,0,2,56863.34695541639,27217.416633970985,57603.04629437619,7184.142450651007
0.05,282,0,0,0,0,2,20048.21120767492,14605.022877186317,56828.684432491515,22760.54449213795
0.05,283,0,0,0,0,2,106625.7897918819,7933.3486749985705,59358.33366629525,9412.265025082646
0.05,284,0,0,0,0,2,29531.261719488466,73944.04586632607,59096.63368451216,27567.300606366465
0.05,285,0,0,0,0,2,35217.8733842859,28385.161111317928,60004.70007752216,42754.79878904526
0.05,286,0,0,0,0,2,90086.00331565474,5324.65490379393,58639.05957047699,11614.893096242668
0.05,287,0,0,0,0,2,93431.75112311162,53248.79726636445,37405.92654085563,18483.198898627354
0.05,288,0,0,0,0,2,120720.14121514797,29474.450230722243,63066.65571360803,10725.541712083146
0.05,289,0,0,0,0,2,110415.77600818456,67592.07344795183,58393.899626226805,13984.958040891506
